cell_id,family,task,model,seed,explainer,alpha,crc_fraction,crc_test_risk,crc_mean_atom_fraction,naive_fraction,naive_test_risk,random_fraction,crc_minus_naive_fraction,risk_pass,efficiency_pass
bxaic__indole__gin__seed42,bxaic,indole,gin,42,ig,0.1,0.67,0.09801464452249513,0.6886269315023926,0.67,0.09801464452249513,0.90726752777742,0.0,True,True
bxaic__indole__gin__seed42,bxaic,indole,gin,42,ig,0.2,0.47000000000000003,0.198500185871599,0.48597455234864967,0.47000000000000003,0.198500185871599,0.8060574077896909,0.0,True,True
bxaic__P__gcn__seed123,bxaic,P,gcn,123,gradinput,0.05,0.04,0.04238780151559057,0.0560134724761788,0.04,0.04238780151559057,0.9569520123848,0.0,True,True
bxaic__P__gcn__seed123,bxaic,P,gcn,123,gradinput,0.1,0.02,0.10976490624748046,0.03654573825758572,0.02,0.10976490624748046,0.9155993798160156,0.0,False,True
bxaic__P__gcn__seed123,bxaic,P,gcn,123,gradinput,0.2,0.01,0.12610950193699597,0.03475498746109547,0.01,0.12610950193699597,0.8074985489100943,0.0,True,True
bxaic__P__gcn__seed123,bxaic,P,gcn,123,ig,0.05,0.04,0.04238780151559057,0.0560134724761788,0.04,0.04238780151559057,0.9569520123848,0.0,True,True
bxaic__P__gcn__seed123,bxaic,P,gcn,123,ig,0.1,0.02,0.10976490624748046,0.03654573825758572,0.02,0.10976490624748046,0.9155993798160156,0.0,False,True
bxaic__P__gcn__seed123,bxaic,P,gcn,123,ig,0.2,0.01,0.12610950193699597,0.03475498746109547,0.01,0.12610950193699597,0.8074985489100943,0.0,True,True
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,gradinput,0.05,0.04,0.04238780151559057,0.0560134724761788,0.04,0.04238780151559057,0.9569520123848,0.0,True,True
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,gradinput,0.1,0.02,0.10976490624748046,0.03654573825758572,0.02,0.10976490624748046,0.9084086740208712,0.0,False,True
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,gradinput,0.2,0.01,0.12610950193699597,0.03475498746109547,0.01,0.12610950193699597,0.8074985489100943,0.0,True,True
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,ig,0.05,0.04,0.04238780151559057,0.0560134724761788,0.04,0.04238780151559057,0.9569520123848,0.0,True,True
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,ig,0.1,0.02,0.10976490624748046,0.03654573825758572,0.02,0.10976490624748046,0.9084086740208712,0.0,False,True
